"",MinAbsEStateIndex,MolWt,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan3,BalabanJ,Chi0,Chi1n,Chi1v,Chi3v,Chi4v,HallKierAlpha,Ipc,Kappa2,PEOE_VSA1,PEOE_VSA6,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SlogP_VSA2,SlogP_VSA3,SlogP_VSA5,TPSA,EState_VSA10,EState_VSA2,EState_VSA5,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,NOCount,NumHAcceptors,MolLogP,MolMR,fr_C_O
sample_1,1.1805555555555556,53.06399999999999,0.0905313753738046,2.0,2.25,2.9217836800202117,3.414213562373095,0.9205302228086548,0.9205302228086548,0.0912870929175276,0.0,-0.77,6.854752972273345,2.23,0.0,6.578935683598497,6.076020106833881,6.069221312792274,0.0,0.0,0.0,0.0,23.79,0.0,0.0,6.076020106833881,0.0,7.506944444444445,0.0,0.0,1.6944444444444444,1,1,0.6959799999999999,15.81,0
sample_2,0.6388888888888888,56.064,0.1417458219422101,1.75,2.0,2.7320508075688776,3.414213562373095,0.9772838841927124,0.9772838841927124,0.0962250448649376,0.0,-0.5900000000000001,6.854752972273345,2.4100000000000006,0.0,6.578935683598497,0.0,0.0,6.286160523129555,6.286160523129555,4.794537184071822,0.0,17.07,0.0,0.0,6.076020106833881,9.055555555555555,0.0,0.0,0.0,0.0,1,1,0.3712999999999999,16.261,1
sample_3,0.8333333333333333,72.06299999999999,0.3271981122452583,2.0,2.2,3.204805417886435,4.284457050376173,1.1246543680405865,1.1246543680405865,0.174620426250861,0.0,-0.79,9.65148445440323,1.5215264797507788,5.106527394840706,6.578935683598497,6.076020106833881,0.0,5.969305287951849,11.075832682792557,4.794537184071822,0.0,37.3,4.794537184071822,0.0,0.0,9.25,7.604166666666666,0.0,-0.9814814814814812,0.0,2,1,0.2569999999999999,17.8328,1
sample_4,0.5555555555555557,76.526,0.0401064912180814,2.0,2.25,2.2968352619191394,3.414213562373095,1.0837578228401503,1.6182803066649991,0.3273268353539885,0.0,0.0299999999999999,6.854752972273345,3.0300000000000016,0.0,6.076020106833881,5.880003444970339,0.0,11.600939890232516,5.880003444970339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555557,0.0,0,0,1.4112,20.916999999999994,0
sample_5,1.75,42.081,0.0472598095819833,2.0,2.0,2.1874960973678963,2.7071067811865475,0.9855985596534887,0.9855985596534887,0.0,0.0,-0.26,2.754887502163468,1.740000000000001,0.0,6.076020106833881,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1923,15.871000000000002,0
sample_6,0.6172839506172845,110.971,0.0262348947737568,1.8,2.0,3.1431973062780685,4.284457050376173,1.1958752613354189,2.0102755148166307,0.6984805798330338,0.0,0.3199999999999999,9.65148445440323,2.5514814814814817,0.0,23.20187978046503,10.56748828099181,0.0,23.20187978046503,0.0,0.0,6.923737199690624,0.0,0.0,0.0,5.535201928878213,0.0,0.6172839506172845,1.3209876543209875,0.0,0.0,0,0,2.3253000000000004,25.462999999999997,0
sample_7,0.0833333333333334,58.08,0.060931221181301,2.0,2.25,2.2968352619191394,3.414213562373095,1.1327243469445638,1.1327243469445638,0.1290994448735805,0.0,-0.3,6.854752972273345,2.700000000000001,5.106527394840706,6.076020106833881,0.0,6.606881964512918,0.0,11.713409359353625,0.0,0.0,20.23,0.0,6.606881964512918,6.076020106833881,0.0,7.756944444444445,0.0,0.0,0.0,1,1,0.1647,17.2828,0
sample_8,1.375,58.080000000000005,0.0765680447547852,2.0,2.25,2.2968352619191386,3.414213562373095,1.052198841323242,1.052198841323242,0.1666666666666666,0.0,-0.46,6.854752972273345,2.54,4.736862953800049,6.578935683598497,0.0,13.371877989698325,0.0,7.109797541277533,4.736862953800049,0.0,9.23,0.0,0.0,6.26208044842079,0.0,0.0,0.0,0.0,0.0,1,1,0.7763,17.206,0
sample_9,0.6388888888888888,58.08,0.1192149442880172,2.0,2.25,2.2968352619191386,3.414213562373095,1.3510573320459265,1.3510573320459265,0.1666666666666666,0.0,-0.33,6.854752972273345,2.67,4.794537184071822,6.923737199690624,6.4208216229260096,0.0,6.286160523129555,6.286160523129555,4.794537184071822,13.344558822616634,17.07,4.794537184071822,0.0,0.0,9.17361111111111,0.0,0.0,0.0,0.0,1,1,0.5952999999999999,16.355,1
sample_10,0.1111111111111109,73.071,0.041108964454662,2.0,2.2,2.847378923087672,4.284457050376173,1.4689084622436843,1.4689084622436843,0.2886751345948129,0.0,-0.53,9.65148445440323,1.7581844380403455,9.901064578912528,6.923737199690624,5.969305287951849,0.0,5.969305287951849,5.969305287951849,4.794537184071822,13.344558822616634,40.13,9.901064578912528,6.4208216229260096,6.923737199690624,9.256944444444445,9.256944444444445,0.0,-0.99537037037037,0.0,2,2,-0.8537000000000001,15.298000000000002,1
