,MaxEStateIndex,NumAromaticCarbocycles,ExactMolWt,HeavyAtomCount,MolWt,Chi0,Chi3n,MaxAbsPartialCharge,LabuteASA,Chi0n,NumValenceElectrons,Chi0v,Chi3v,MinAbsPartialCharge,Chi1n,Chi1,MolMR,NumHDonors,Chi1v,NOCount,Chi2n,VSA_EState10
EState_VSA2,0.4970987474165485,0.001422357393543028,0.5513560699294816,0.5495221961944187,0.5511319624257142,0.5747399000205312,0.5142571754347344,0.2915930825229342,0.5538362465133234,0.5152094434137762,0.5696813190342674,0.5434236164594515,0.5298844423097746,0.35949996244312177,0.4899854114013259,0.5292323590957484,0.4892487681660771,0.29346521105984,0.506369693961928,0.43904860954143515,0.5252311124888683,0.20551944594070393
EState_VSA3,0.37667152825177797,0.05655993819545914,0.5177666935102139,0.5105092284440855,0.5178959503062491,0.516770430989876,0.5056897412554294,0.1812830139196915,0.5390713823261898,0.5043978547192085,0.5251631255782702,0.546221390946723,0.5244819475924749,0.2506999492667091,0.5003099620559373,0.5042500651675932,0.5098940553098738,0.05876288115219336,0.5297766300457328,0.2417611852481816,0.5041556027071283,0.24862982178498466
EState_VSA4,0.2408359669238191,0.020126360486270936,0.3250905103952614,0.41900592401355735,0.3232611955605701,0.4023643961047055,0.545481621181131,0.19398445417396004,0.4061052633090967,0.5050708523714589,0.4434603167890257,0.44081244740287323,0.4588260364824704,0.061991589862444414,0.5485451134030043,0.4296922206211097,0.4395779164529896,0.005438057459980156,0.481574002836039,0.10214636451813397,0.5335917305923613,0.14038558652170743
EState_VSA5,0.05071918104617456,0.14632370850862877,0.15359348493941025,0.24886610439815499,0.15174561178681178,0.22844735199158814,0.27708423902627655,0.02593140094703195,0.21533702613794803,0.29870663236515993,0.2513840543427295,0.2319368898011858,0.2364016739856899,0.02546284689497992,0.33524309800329816,0.26314050715360215,0.26751122592387305,0.004381574232342619,0.29411931885637604,0.0647273338517311,0.2892422888040652,0.2017792807997243
EState_VSA6,0.31232006383065186,0.24902463022455976,0.2890195587610364,0.3059970008781214,0.28874371211240885,0.3093893089829976,0.1128264769881085,0.205495537096283,0.2988003309264311,0.2512961125548849,0.27866331652197884,0.2674513785535727,0.14612693238918198,0.30531588994140746,0.20271678704959703,0.30533919203315085,0.2847711292588616,0.0752935709121368,0.22630900658781844,0.23124014093669315,0.15459595220335767,0.094591590894932
EState_VSA7,0.04976466027765428,0.3034867836600839,0.12249598016790789,0.16099880710812375,0.12172944285022741,0.13994402188628352,0.07239609448537764,0.061835133642246694,0.15771015018289167,0.1627829013221921,0.12497541809403301,0.1474902577998773,0.058361670044182,0.020399060439459927,0.14784650965588664,0.1738721670431234,0.2041802852050124,0.09577137054657098,0.12933681821300932,0.05077600355820544,0.10982964684253033,0.0472771822041604
EState_VSA8,0.4662512790732194,0.31937123990490895,0.09694758158923951,0.11392731111287079,0.09597300696691365,0.0709813347825129,0.18341355372979262,0.3503136250950652,0.11740790651447335,0.16132662303934744,0.07786703220194818,0.14338331718723624,0.1432735283894038,0.33505785750232314,0.1941911724023739,0.13482468443493734,0.21011081771027754,0.18231362024976974,0.17073151526365335,0.19794887385072893,0.1847759725023593,0.17533933354795464
EState_VSA9,0.04501356969319679,0.15892045592558032,0.4086601558375604,0.17703780147303344,0.41364718076573914,0.20409574362662888,0.0074910191123215815,0.16326368202384,0.32160761880773286,0.04684282900488674,0.1821798851726777,0.2992072364628793,0.25747045738358126,0.016647414222737224,0.009322277775133213,0.15957603147139926,0.2476205237550431,0.04653389278709695,0.22315710226006544,0.07295163967469064,0.002035484909601858,0.9353598678827975
VSA_EState1,0.3858966057846948,0.10349637244993609,0.36731507970289545,0.3693821680036749,0.36578790742070083,0.38893894709861426,0.16225376238774442,0.2379832098368248,0.3292143378621985,0.3222545855625284,0.3844261417029333,0.33004044649865366,0.2684738122707124,0.3730796924912968,0.26259252960486823,0.355566084160838,0.2893453230030678,0.14365850108667758,0.3583914187137448,0.4255314814561687,0.21370102502647276,0.08119155567806516
VSA_EState2,0.6342814504215878,0.1547318728944251,0.35687919326355283,0.48006835164995193,0.35416847028052484,0.5012898367114192,0.41708978849667727,0.3995194884960229,0.4003543238730817,0.4770002763972835,0.4887807926491818,0.3761136687235688,0.285688063630698,0.6470528515355417,0.4404119640067057,0.4683460967064888,0.3459746172183928,0.3310145322827513,0.3348781796541557,0.6994081309474142,0.43826718257539327,0.22943303893409162
VSA_EState3,0.35363751894573814,0.030260361454331624,0.35741017434678124,0.43334610533910933,0.355412425037932,0.4512664785691324,0.4180906747895208,0.3673097607785715,0.3752855199027402,0.40041010376360453,0.45167400024838217,0.33327604925894594,0.3080810095096335,0.2026788923378622,0.3967318418213064,0.41993993369268834,0.3223848109279786,0.7858563883604105,0.31597401177467616,0.5608774909740183,0.42476632358018984,0.13973362411669946
VSA_EState4,0.0898616530613745,0.25308872339578303,0.004596239994892139,0.053584749545197756,0.005241046602530016,0.03236194488130621,0.025816704289211095,0.05207506690731428,0.030043186504744104,0.03255395546722769,0.02045272116837368,0.00039585114806914485,0.05958900917003741,0.008448304341196356,0.025298406788012488,0.06538866190835342,0.07294717273747509,0.17285205076072563,0.006639474155207156,0.07426104578626308,0.010345045788874957,0.08520561233456408
VSA_EState5,0.16683431928207113,0.05518130797784349,0.08912549758485087,0.0875946699689224,0.08889154719277159,0.1135174649277808,0.07610596437743397,0.11626077941396544,0.056489691708068834,0.013026569389008268,0.07870498766400401,0.008351274193759268,0.09437667849648877,0.22210737820613743,0.027460600890271525,0.07386239078817307,0.0007875472025671425,0.3529295229045641,0.04481242354671454,0.29706244317320774,0.047234042052105796,0.0035166209088789858
VSA_EState6,0.16295944627542006,0.9119433045214458,0.21895783355394405,0.31980660093227636,0.2183377028516131,0.2568572447581823,0.1515340228876782,0.1516118223727265,0.2948636477860849,0.24716295961121126,0.21453164580374062,0.22459331483488673,0.11509753927079726,0.14103518181872662,0.2541957620709922,0.3511872408235701,0.37661443806345224,0.13524786604545413,0.22070403887637308,0.13887058237521982,0.17108491777000528,0.010885765030176079
VSA_EState7,0.0025892255934357577,0.32795996364353874,0.015591373937781459,0.09979967118012507,0.014308274932561078,0.08555754751706715,0.3624464336468605,0.004899479845112976,0.09676456918633305,0.22884205984343198,0.13811771546972382,0.15319307376073213,0.2610544914831589,0.09599586831823573,0.310604688908531,0.11224176354761901,0.14033574029874538,0.1966357725244992,0.2266044962654435,0.14362738173830292,0.32357523644214764,0.17745568909180506
VSA_EState8,0.08275005212609116,0.3123832607695689,0.023223407435814438,0.11958352819747832,0.021232655802106804,0.14993952189470397,0.2600547503429735,0.07838734553654818,0.10437375720204782,0.29964674083602527,0.1858293213922919,0.20452468826269013,0.18819872686654918,0.03899275158411556,0.2897927445944032,0.10772693980360182,0.15437704179361197,0.09109046102908293,0.2160690769861785,0.011124771661197292,0.32691175685519547,0.258826226740102
FractionCSP3,0.014372087426926035,0.6509692592585264,0.1475281968160706,0.1552444105537802,0.14814695547619242,0.11660897244360398,0.08951503328266332,0.036996987830289055,0.1419555230903693,0.007043652927403862,0.04446354418678482,0.03942777463864203,0.04505965038245013,0.10526405419975737,0.04343337489767847,0.16928416061357124,0.1491885523025416,0.010167548696423185,0.01134179446099921,0.05182652853715552,0.09681241294618152,0.16882791213954476
