,MaxAbsEStateIndex,MinAbsEStateIndex,MolWt,MaxPartialCharge,MinPartialCharge,FpDensityMorgan3,Chi1,Chi1n,Chi1v,Chi3n,Chi3v,Chi4n,Kappa1,Kappa2,SMR_VSA1,SMR_VSA4,SMR_VSA5,TPSA,EState_VSA3,EState_VSA5,EState_VSA7,EState_VSA9,VSA_EState2,VSA_EState4,VSA_EState8,HeavyAtomCount,NHOHCount,NumHDonors,NumRotatableBonds,RingCount,MolLogP,MolMR
sample_11,9.256944444444445,0.1111111111111109,73.071,0.041108964454662,-0.5501828650303152,2.2,2.270055610029662,1.4689084622436843,1.4689084622436843,0.2886751345948129,0.2886751345948129,0.0,4.469999999999999,1.7581844380403455,9.901064578912528,0.0,13.344558822616634,40.13,0.0,6.923737199690624,0.0,0.0,9.256944444444445,0.0,1.537037037037037,5,0,0,1,0,-0.8537000000000001,15.298000000000002
sample_12,9.368055555555555,0.2222222222222221,74.079,0.3025584374920559,-0.4812379170193394,2.2,2.270055610029662,1.4883911147617317,1.4883911147617317,0.3024514503058254,0.3024514503058254,0.0,4.469999999999999,1.7581844380403455,9.901064578912528,0.0,13.344558822616634,37.3,0.0,0.0,0.0,5.106527394840706,9.368055555555555,0.0,1.599537037037037,5,1,1,1,0,0.481,17.9268
sample_13,3.248263888888889,1.1319444444444444,122.993,0.0028627972390594,-0.0928186496107851,2.0,1.914213562373095,1.4743680230989715,2.5958369308453744,0.1889822365046135,0.9819805060619654,0.0,4.480000000000002,3.4800000000000018,0.0,0.0,13.344558822616634,0.0,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,2.133680555555556,4,0,0,1,0,1.7913,24.08499999999999
sample_14,5.274691358024691,0.3055555555555556,78.542,0.0279128306530506,-0.1236117709887025,1.5,1.7320508075688772,1.372918428615244,1.8093542090872288,0.0,0.0,0.0,4.29,1.5939513677811554,0.0,0.0,19.224562267586972,0.0,5.3770878682057255,0.0,13.847474399381248,11.600939890232516,0.0,0.0,3.864197530864198,4,0,0,0,0,1.6336,20.988999999999997
sample_15,5.1859567901234565,0.7916666666666667,78.542,0.0220330463305987,-0.1267278871383566,2.0,1.914213562373095,1.4743680230989715,2.0088905069238203,0.1889822365046135,0.5669467095138407,0.0,4.29,3.2900000000000005,0.0,0.0,13.344558822616634,0.0,0.0,0.0,6.923737199690624,11.600939890232516,0.0,0.0,2.048611111111111,4,0,0,1,0,1.6352,21.011
sample_16,4.909722222222222,0.5833333333333334,57.09599999999999,0.0103744344555753,-0.3270522846975318,2.25,1.914213562373095,1.224744871391589,1.224744871391589,0.1666666666666666,0.1666666666666666,0.0,3.7,2.700000000000001,0.0,5.733667477162185,0.0,26.02,6.544756405912575,0.0,0.0,5.733667477162185,0.0,4.909722222222222,3.9375,4,2,1,1,0,0.1311000000000001,19.251400000000004
sample_17,2.125,1.25,44.097,-0.0590383639290487,-0.0656454412102395,1.3333333333333333,1.4142135623730951,1.414213562373095,1.414213562373095,0.0,0.0,0.0,3.0,2.0,0.0,0.0,20.268296022307258,0.0,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,4.25,3,0,0,0,0,1.4163,15.965000000000003
sample_18,4.541666666666666,0.8194444444444444,60.096,0.0433453891175591,-0.3849768931683057,2.0,1.914213562373095,1.4040302062452237,1.4040302062452237,0.2886751345948129,0.2886751345948129,0.0,3.96,2.9600000000000004,4.736862953800049,0.0,6.923737199690624,9.23,0.0,0.0,6.923737199690624,0.0,0.0,0.0,2.7777777777777777,4,0,0,1,0,0.6527000000000001,17.55
sample_19,7.875,0.3194444444444444,60.096,0.0427892799205337,-0.3963873506323361,2.0,1.914213562373095,1.5233345472033857,1.5233345472033857,0.2236067977499789,0.2236067977499789,0.0,3.96,2.9600000000000004,5.106527394840706,0.0,13.344558822616634,20.23,6.606881964512918,0.0,6.923737199690624,5.106527394840706,0.0,0.0,2.25,4,1,1,1,0,0.3887,17.376800000000003
sample_20,4.46875,0.3888888888888888,76.095,0.1454483236263153,-0.3586824811062546,1.6,2.414213562373095,1.393846850117352,1.393846850117352,0.2357022603955159,0.2357022603955159,0.1178511301977579,4.920000000000001,3.92,9.473725907600098,0.0,0.0,18.46,6.792942306099827,0.0,0.0,0.0,0.0,0.0,0.3888888888888888,5,0,0,2,0,0.2367,18.885
sample_21,8.11111111111111,0.1388888888888888,76.095,0.0742386440636602,-0.3937000421977661,2.0,2.270055610029662,1.5600252154174878,1.5600252154174878,0.2642238439278279,0.2642238439278279,0.0,4.920000000000001,2.175102040816326,10.213054789681411,0.0,13.027703587438928,40.46,0.0,6.923737199690624,0.0,10.213054789681411,0.0,0.0,1.3888888888888888,5,2,2,1,0,-0.6405000000000001,18.7666
sample_22,5.111111111111111,0.3333333333333332,59.112,-0.0017924242320082,-0.328262980899961,1.5,1.7320508075688772,1.4880338717125852,1.4880338717125852,0.0,0.0,0.0,3.96,1.297837837837838,0.0,5.733667477162185,19.88931522852921,26.02,6.041840829147961,0.0,13.847474399381248,5.733667477162185,0.0,5.111111111111111,3.888888888888889,4,2,1,0,0,0.3535,19.323400000000003
sample_23,5.027777777777778,0.8194444444444444,59.11199999999999,-0.007990568627305,-0.3304839223850739,2.0,1.914213562373095,1.6153550716504106,1.6153550716504106,0.2886751345948128,0.2886751345948128,0.0,3.96,2.9600000000000004,0.0,5.733667477162185,13.344558822616634,26.02,0.0,0.0,0.0,5.733667477162185,0.0,5.027777777777778,2.875,4,2,1,1,0,0.3551000000000001,19.345400000000005
