,MaxEStateIndex,MinAbsEStateIndex,MolWt,HeavyAtomMolWt,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan3,BalabanJ,Chi3n,Chi3v,Ipc,Kappa3,PEOE_VSA1,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SMR_VSA6,SlogP_VSA5,TPSA,EState_VSA5,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,HeavyAtomCount,NOCount,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms
sample_24,2.0,2.0,59.112,50.03999999999999,-0.3124319659317336,0.3124319659317336,0.0140010497827221,1.0,1.0,2.3237900077244498,0.0,0.0,3.2451124978365318,1128.9599999999998,4.899909730850478,21.143015948031568,0.0,0.0,0.0,21.143015948031568,0.0,3.24,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,1,0,1
sample_25,3.361111111111111,1.6388888888888888,54.09199999999999,48.044,-0.0990867373646055,0.0990867373646055,0.0700823082661021,1.0,1.25,2.7320508075688776,0.1666666666666666,0.1666666666666666,6.854752972273345,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2777777777777777,4,0,0,0,0,0
sample_26,4.361111111111111,1.3125,70.09100000000001,64.04299999999999,-0.4738803444692918,0.4738803444692918,0.0828804352185583,1.2,1.6,2.6531630746803305,0.1924500897298753,0.1924500897298753,11.245112497836532,3.280000000000003,4.736862953800049,0.0,0.0,12.52416089684158,0.0,0.0,0.0,9.23,12.52416089684158,0.0,0.0,0.0,0.0,2.625,5,1,0,1,0,1
sample_27,9.405092592592592,0.5740740740740742,70.091,64.04299999999999,-0.2982913909836627,0.2982913909836627,0.1446474656328009,2.0,2.2,3.204805417886435,0.2011844635310913,0.2011844635310913,9.65148445440323,3.410000000000001,0.0,12.496841729759891,0.0,0.0,6.286160523129555,0.0,6.923737199690624,17.07,0.0,0.0,0.5740740740740742,0.0,0.0,0.7222222222222223,5,1,0,1,0,1
sample_28,9.84027777777778,0.3935185185185184,86.08999999999999,80.042,-0.4658665816196197,0.4658665816196197,0.3293620268351236,2.0,2.5,3.234390866915873,0.367851130197758,0.367851130197758,19.80026905978025,1.5215264797507788,4.736862953800049,0.0,6.076020106833881,7.109797541277533,5.969305287951849,7.109797541277533,0.0,26.3,7.109797541277533,0.0,0.0,-0.3935185185185184,0.0,1.1111111111111112,6,2,0,2,0,2
sample_29,9.75027777777778,0.3287037037037035,86.08999999999999,80.04199999999999,-0.4353234316490274,0.4353234316490274,0.3069152048394101,2.0,2.5,3.046489080910934,0.2492969859635601,0.2492969859635601,14.834466856136649,3.21,4.736862953800049,0.0,6.923737199690624,6.26208044842079,5.969305287951849,0.0,6.923737199690624,26.3,6.923737199690624,0.0,0.0,-0.3287037037037035,0.0,1.099537037037037,6,2,0,2,0,2
sample_30,7.81625,0.6944444444444444,69.107,62.051,-0.1983475739310898,0.1983475739310898,0.0621137429049083,1.8,2.4,2.483699570591265,0.3618033988749894,0.3618033988749894,11.245112497836532,3.490000000000001,0.0,6.4208216229260096,6.4208216229260096,6.069221312792274,0.0,0.0,19.765380445542643,23.79,0.0,7.81625,0.0,0.0,2.017361111111111,1.6770833333333333,5,1,0,1,0,1
sample_31,3.4791666666666665,1.0833333333333337,56.10799999999999,48.044,-0.1030932271211614,0.1030932271211614,0.0382003936054866,2.0,2.25,2.2968352619191394,0.2886751345948128,0.2886751345948128,6.854752972273345,1.740000000000001,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,13.344558822616634,0.0,0.0,0.0,0.0,0.0,0.0,2.958333333333333,4,0,0,0,0,0
sample_32,2.0,2.0,56.108,48.044,-0.0919421120202676,0.0919421120202676,0.0470019234101992,1.0,1.25,2.549193338482967,0.3333333333333334,0.3333333333333334,6.854752972273345,1.740000000000001,0.0,13.847474399381248,0.0,0.0,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4,0,0,0,0,0
sample_33,2.0,2.0,56.108,48.044,-0.0919421120202676,0.0919421120202676,0.0470019234101992,1.0,1.25,2.549193338482967,0.3333333333333334,0.3333333333333334,6.854752972273345,1.740000000000001,0.0,13.847474399381248,0.0,0.0,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4,0,0,0,0,0
sample_34,3.555555555555556,1.1666666666666667,56.10799999999999,48.044,-0.1004198486154627,0.1004198486154627,0.0444814193828446,1.5,1.5,2.8030394876740514,0.0,0.0,3.2451124978365318,14.095029585798825,0.0,13.847474399381248,0.0,0.0,0.0,0.0,13.847474399381248,0.0,5.573104530069267,0.0,1.1666666666666667,0.0,0.0,0.0,4,0,0,0,0,0
sample_35,9.40486111111111,0.7083333333333333,72.107,64.04299999999999,-0.3034030972577946,0.3034030972577946,0.1194797811341422,1.8,2.4,2.4017152226171965,0.4065262647925708,0.4065262647925708,11.245112497836532,3.67,4.794537184071822,6.4208216229260096,6.4208216229260096,0.0,6.286160523129555,0.0,19.765380445542643,17.07,0.0,0.0,0.0,0.0,0.0,2.614583333333333,5,1,0,1,0,1
sample_36,9.50462962962963,0.2037037037037035,72.107,64.04299999999999,-0.3031119641378181,0.3031119641378181,0.1220160122531734,1.6,1.8,2.825749368745867,0.2721655269759088,0.2721655269759088,9.65148445440323,3.67,4.794537184071822,0.0,5.917906046161393,0.0,6.286160523129555,0.0,13.847474399381248,17.07,0.0,0.0,0.0,0.2037037037037035,0.0,0.9166666666666669,5,1,0,1,0,1
sample_37,9.8125,0.2546296296296297,72.10699999999999,64.04299999999999,-0.3000423849594125,0.3000423849594125,0.1290650325260376,1.8,2.0,2.847378923087672,0.4978909578906801,0.4978909578906801,9.65148445440323,3.67,4.794537184071822,6.923737199690624,6.4208216229260096,0.0,5.783244946364939,0.0,20.268296022307258,17.07,0.0,0.0,0.0,0.2546296296296297,0.0,0.6666666666666666,5,1,0,1,0,1
sample_38,4.944444444444445,1.0,72.107,64.043,-0.3814493819627182,0.3814493819627182,0.0466381698498417,1.0,1.8,2.083333333333333,0.8273502691896256,0.8273502691896256,22.88643538696057,0.6183636836628511,4.736862953800049,12.84164324585202,13.213763929025836,0.0,0.0,13.213763929025836,12.84164324585202,9.23,12.84164324585202,0.0,0.0,0.0,0.0,2.555555555555556,5,1,0,1,0,1
sample_39,9.599305555555556,0.2916666666666665,88.10599999999998,80.04199999999999,-0.4812305164094317,0.4812305164094317,0.3028289365794988,1.8333333333333333,2.333333333333333,2.831257109931365,0.4638654714909551,0.4638654714909551,14.834466856136649,3.47,5.106527394840706,6.4208216229260096,6.4208216229260096,0.0,5.969305287951849,0.0,19.765380445542643,37.3,0.0,7.913472222222222,0.0,-0.7106481481481481,0.0,1.023148148148148,6,2,0,1,1,2
sample_40,9.821527777777778,0.2106481481481479,88.106,80.04199999999999,-0.4661718899744166,0.4661718899744166,0.3021127777269908,1.8333333333333333,2.333333333333333,2.831257109931365,0.3476006996936919,0.3476006996936919,14.834466856136649,3.47,4.736862953800049,6.923737199690624,6.923737199690624,6.606881964512918,5.969305287951849,6.606881964512918,13.847474399381248,26.3,6.923737199690624,0.0,0.0,-0.2106481481481479,0.0,0.0,6,2,0,2,0,2
sample_41,9.699074074074074,0.2314814814814816,88.10599999999998,80.04199999999999,-0.4810415895699593,0.4810415895699593,0.3054235297285997,1.6666666666666667,1.8333333333333333,3.2575861612334887,0.4939011501426771,0.4939011501426771,13.609640474436812,1.7581844380403455,5.106527394840706,0.0,0.0,5.917906046161393,5.969305287951849,0.0,13.847474399381248,37.3,0.0,7.99074074074074,0.0,-0.9722222222222224,0.0,0.0,6,2,0,1,1,2
sample_42,9.958333333333334,0.157407407407407,88.106,80.042,-0.4690029502830051,0.4690029502830051,0.3047207314409239,1.8333333333333333,2.333333333333333,2.9881608821342693,0.5163460352255528,0.5163460352255528,19.80026905978025,1.7581844380403455,4.736862953800049,0.0,6.4208216229260096,7.109797541277533,5.969305287951849,7.109797541277533,13.344558822616634,26.3,7.109797541277533,0.0,0.0,-0.157407407407407,0.0,0.46875,6,2,0,2,0,2
sample_43,9.341527777777776,0.4618055555555556,88.10599999999998,80.042,-0.4679120385595627,0.4679120385595627,0.2925753483471992,1.8333333333333333,2.6666666666666665,2.4884037718761123,0.3900166571736666,0.3900166571736666,20.986300857070454,3.47,4.736862953800049,6.4208216229260096,0.0,6.606881964512918,6.472220864716464,6.606881964512918,13.344558822616634,26.3,0.0,0.0,0.0,0.0,0.0,0.9015277777777778,6,2,0,2,0,2
sample_44,3.3095138888888886,1.15625,137.01999999999998,127.948,-0.092807985075221,0.092807985075221,0.0031152227076761,1.6,2.2,2.19060968716425,0.4871840115494858,1.047918465422687,11.245112497836532,4.480000000000002,0.0,6.4208216229260096,5.330089647061427,0.0,15.929943897949348,5.330089647061427,19.765380445542643,0.0,12.84164324585202,1.15625,0.0,0.0,0.0,2.602430555555556,5,0,0,0,0,1
sample_45,5.301651234567901,0.8159722222222223,92.569,83.497,-0.126717152212131,0.126717152212131,0.022285485122089,1.6,2.2,2.19060968716425,0.4871840115494858,0.7544452534619102,11.245112497836532,4.289999999999999,0.0,6.4208216229260096,5.880003444970339,0.0,11.600939890232516,5.880003444970339,19.765380445542643,0.0,6.4208216229260096,0.0,0.0,0.8159722222222223,0.0,2.3661265432098766,5,0,0,0,0,1
sample_46,2.180555555555556,1.3194444444444444,58.124,48.044,-0.0653924428808516,0.0653924428808516,0.0564343704175863,1.0,1.25,1.9747448713915892,0.4999999999999999,0.4999999999999999,6.854752972273345,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26.689117645233267,0.0,12.84164324585202,0.0,0.0,0.0,0.0,2.638888888888889,4,0,0,0,0,0
sample_47,2.1666666666666665,0.8333333333333333,58.124,48.044,-0.0630372541818288,0.0630372541818288,0.0499860811430797,1.0,1.0,2.3237900077244498,0.0,0.0,3.2451124978365318,0.0,0.0,5.917906046161393,0.0,0.0,0.0,0.0,20.771211599071872,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,4,0,0,0,0,0
sample_48,8.06625,0.34375,74.12299999999999,64.04299999999999,-0.3963767520692109,0.3963767520692109,0.0430422834852069,1.6,2.2,2.19060968716425,0.5116672736016926,0.5116672736016926,11.245112497836532,3.96,5.106527394840706,6.4208216229260096,6.606881964512918,0.0,0.0,6.606881964512918,19.765380445542643,20.23,0.0,8.06625,0.0,0.0,0.0,2.0381944444444446,5,1,0,1,1,1
sample_49,8.36111111111111,0.1157407407407409,74.12299999999999,64.04299999999999,-0.3934300872216237,0.3934300872216237,0.050903904353539,1.8,2.0,2.5395388613593908,0.5908224762989184,0.5908224762989184,9.65148445440323,3.96,5.106527394840706,13.344558822616634,0.0,6.103966387748303,0.0,0.0,20.268296022307258,20.23,0.0,8.36111111111111,0.0,0.0,0.0,0.7453703703703702,5,1,0,1,1,1
sample_50,8.520833333333332,0.5,74.12299999999999,64.04299999999999,-0.3907600879079809,0.3907600879079809,0.0563258534106586,1.2,1.2,3.0237157840738176,0.0,0.0,3.6096404744368114,9507.96,5.106527394840706,20.771211599071872,0.0,5.601050810983688,0.0,0.0,20.771211599071872,20.23,0.0,8.520833333333332,-0.5,0.0,0.0,0.0,5,1,0,1,1,1
