,t1,t2
sample_193,6.5133166,-8.813587
sample_194,6.517895,-8.721745
sample_195,-18.292978,-10.925734
sample_196,13.941366,-3.6295798
sample_197,15.311788,3.660997
sample_198,15.994094,4.013351
sample_199,15.075333,2.2998333
sample_200,14.978269,-6.0191154
sample_201,-3.697071,-12.659998
sample_202,15.102276,-6.2696805
sample_203,16.331364,3.0864878
sample_204,16.910187,3.5666428
sample_205,-18.533108,-10.219062
sample_206,17.094353,2.6879995
sample_207,-18.945204,-8.875734
sample_208,17.726757,2.4967897
sample_209,18.270708,1.6317846
sample_210,-18.945204,-8.875734
sample_211,18.285036,2.7464705
sample_212,19.040602,0.97348994
sample_213,-11.985588,-6.881172
sample_214,-1.2922231,12.850618
sample_215,-2.5990415,13.13439
sample_216,-15.822826,2.0682878
sample_217,-2.1427715,7.246502
sample_218,-3.0330956,13.510848
sample_219,2.1273584,11.954668
sample_220,-0.08782029,12.2859535
sample_221,-6.1864643,0.8535664
sample_222,-16.22786,1.7000334
sample_223,-14.073369,1.0625088
sample_224,-11.066409,7.3356566
sample_225,-15.242431,7.1901636
sample_226,-2.86545,6.431926
sample_227,6.0213714,7.0856323
sample_228,5.9348745,7.8162518
sample_229,7.4953904,9.362108
sample_230,-3.1443167,13.587489
sample_231,-11.661411,-8.1668005
sample_232,-12.457338,-11.0662775
sample_233,-15.153389,-15.370597
sample_234,-11.622619,-17.364376
sample_235,-6.5898805,6.5752172
sample_236,-10.260073,0.07040081
sample_237,1.3071353,0.99470395
sample_238,-6.554276,1.3080195
sample_239,-7.2337646,0.11863341
sample_240,-6.1076965,2.0074573
sample_241,-9.784233,7.759541
sample_242,4.1382494,-4.937143
sample_243,7.177537,3.3430772
sample_244,6.7639804,4.709656
sample_245,5.78736,9.04857
sample_246,5.3642373,8.037899
sample_247,-3.092307,6.376284
sample_248,8.2888975,10.665562
sample_249,7.126543,7.3647327
sample_250,8.1376295,8.7891035
sample_251,-11.661303,-8.166546
sample_252,-8.411981,-8.184691
sample_253,-9.335042,-9.412854
sample_254,-12.705617,-11.416968
sample_255,-13.132747,-10.785148
sample_256,-13.401619,-12.319199
sample_257,-11.888162,-12.780704
sample_258,-5.441433,2.7383697
sample_259,-8.747226,3.2521627
sample_260,-9.762836,2.6763654
sample_261,-10.835297,1.7085949
sample_262,-9.057795,2.976665
sample_263,-9.900299,1.306916
sample_264,-7.234325,0.7008493
sample_265,-16.849257,1.3194343
sample_266,-9.3458,7.7882485
sample_267,-10.859294,-6.4339843
sample_268,-12.719662,3.017168
sample_269,-1.2253085,3.4388585
sample_270,6.5652785,3.5453634
sample_271,-9.804629,-12.52873
sample_272,-15.11173,-15.012885
sample_273,-11.144088,-12.632948
sample_274,-6.5978513,6.6444025
sample_275,-1.0086687,-7.7968082
sample_276,2.2387786,-7.6370983
sample_277,8.601337,6.016255
sample_278,13.806049,8.345049
sample_279,11.31099,11.964827
sample_280,10.260229,-6.86614
sample_281,9.342249,5.6901407
sample_282,-4.912859,-12.080174
sample_283,-18.003641,-11.503938
sample_284,12.013776,-4.0280447
sample_285,13.021967,-5.951558
sample_286,14.137223,4.0697203
sample_287,3.4315395,0.7654193
sample_288,14.067551,-3.625008
sample_289,15.186018,-5.473232
sample_290,17.64358,3.2455335
sample_291,2.1061175,12.3141165
sample_292,0.064592704,13.452657
sample_293,4.109351,-4.653586
sample_294,-10.115561,-12.190182
