,0,1
0,3.924161382256043e-55,1.0
1,2.0083152341459791e-81,1.0
2,1.0983343092042243e-35,1.0
3,3.455107096626829e-42,1.0
4,5.435577927672778e-44,1.0
5,1.7760736757888414e-61,1.0
6,5.534004105395236e-45,1.0
7,3.593245770430865e-46,1.0
8,1.9969300499845308e-44,1.0
9,9.346165126239914e-30,1.0
10,2.612880538250165e-32,1.0
11,7.618154479173091e-34,1.0
12,2.416487799754029e-31,1.0
13,9.77618219492101e-37,1.0
14,1.6031237795327176e-71,1.0
15,4.4130348504448364e-45,1.0
16,5.780231373634793e-13,0.9999999999994218
17,4.6021309259467294e-39,1.0
18,8.361726161143456e-65,1.0
19,6.189048084378467e-33,1.0
20,1.872366941778071e-17,1.0
21,4.526194570872384e-56,1.0
22,1.2466078238736619e-30,1.0
23,5.260594786071921e-42,1.0
24,1.891576411953567e-27,1.0
25,6.32287966835043e-39,1.0
26,3.193616352475561e-22,1.0
27,1.0781174828984172e-44,1.0
28,1.745728886071495e-43,1.0
29,6.906754975245652e-31,1.0
30,1.0034037101157041e-30,1.0
31,1.5652564088901983e-15,0.9999999999999982
32,1.133593839199162e-34,1.0
33,1.5997571443705737e-35,1.0
34,1.6135043765386462e-34,1.0
35,6.654170507409803e-45,1.0
36,4.834336667736601e-29,1.0
37,2.9096572122450774e-32,1.0
38,3.948447448932905e-27,1.0
39,6.090276263285528e-38,1.0
40,2.8331958091864765e-44,1.0
41,1.1662246540966813e-22,1.0
42,6.57343473310597e-79,1.0
43,4.756474614574287e-43,1.0
44,4.498412109134396e-47,1.0
45,4.9645134995143444e-54,1.0
46,2.5862837119694476e-54,1.0
47,3.857719550932057e-51,1.0
48,5.011400776069556e-66,1.0
49,2.972541351983278e-45,1.0
50,5.503117278102975e-31,1.0
51,1.477119561163183e-44,1.0
52,6.622061771470673e-60,1.0
53,1.8051258368717462e-27,1.0
54,1.7192581217621565e-74,1.0
55,4.586276347677733e-64,1.0
56,1.1328283987754631e-61,1.0
57,1.3197397958931469e-48,1.0
58,4.028847657197768e-42,1.0
59,4.04063916486959e-56,1.0
60,3.6749309373200204e-27,1.0
61,1.8239845252926474e-60,1.0
62,3.5636247326437946e-33,1.0
63,8.129183685420123e-64,1.0
64,1.2723610760851589e-48,1.0
65,9.736301544195083e-42,1.0
66,1.4147286162380432e-35,1.0
67,1.7965919063838686e-44,1.0
68,2.362971929149834e-39,1.0
69,2.5197894825542648e-27,1.0
70,4.689863226792627e-36,1.0
71,6.995421042064676e-49,1.0
72,3.9696011377094344e-68,1.0
73,4.9924292983862246e-49,1.0
74,3.419055279814565e-26,1.0
75,3.080642802337536e-64,1.0
76,5.735596751425395e-25,1.0
77,5.104539192524641e-30,1.0
78,7.1588224506986e-31,1.0
79,2.493661171327381e-27,1.0
80,1.0994689790071746e-64,1.0
81,1.404291468625656e-45,1.0
82,4.223521708882122e-43,1.0
83,1.809832925280122e-16,1.0
84,2.275387256610718e-50,1.0
85,8.459635657277119e-49,1.0
86,5.631615273651448e-35,1.0
87,4.6393930338072585e-42,1.0
88,3.282317745696059e-26,1.0
89,1.2708157738713278e-36,1.0
90,7.069311055468175e-21,1.0
91,9.030953248846887e-12,0.999999999990969
92,1.2993467377763932e-22,1.0
93,2.0682097884178674e-33,1.0
94,1.101609425802745e-56,1.0
95,4.981698711789431e-35,1.0
96,1.7461428502931328e-24,1.0
97,1.4735112801846627e-39,1.0
98,1.3683938492182388e-55,1.0
99,1.3794327403067291e-73,1.0
100,8.09977450795932e-34,1.0
101,4.884513533389856e-55,1.0
102,1.6348854564360272e-22,1.0
103,1.7015315045545747e-29,1.0
104,3.3246029980968775e-39,1.0
105,1.0317071664440012e-48,1.0
106,5.03133607067134e-37,1.0
107,1.055184422152757e-28,1.0
108,4.581467935583092e-44,1.0
109,3.880606111104942e-51,1.0
110,2.1440553238005445e-29,1.0
111,8.33484188533153e-43,1.0
112,4.316720905403196e-31,1.0
113,4.9691383738614784e-43,1.0
114,1.313892742230967e-32,1.0
115,2.763288449800405e-25,1.0
116,1.9966506051287624e-41,1.0
117,1.1485077545913514e-42,1.0
118,5.464519859776262e-21,1.0
119,3.923287243122173e-51,1.0
120,1.8670606221830882e-30,1.0
121,2.384218729242477e-34,1.0
122,5.000575487282706e-18,1.0
123,3.17917726776174e-62,1.0
124,5.342024001401576e-18,1.0
125,3.102866158432827e-34,1.0
126,1.531313075633771e-35,1.0
127,4.46385539998731e-53,1.0
128,3.4246350729048523e-19,1.0
129,1.029913406567284e-37,1.0
130,2.4690101075682908e-26,1.0
131,6.178016249214017e-35,1.0
132,2.3703428232821252e-30,1.0
133,3.805100747930536e-43,1.0
