,t_1,t_2
sample_190,11.090532,10.548774
sample_191,3.7299078,6.527738
sample_192,-13.54476,-1.7818714
sample_193,-5.5952396,11.1773205
sample_194,-5.5519304,11.143
sample_195,-12.828112,1.0289681
sample_196,-2.4243953,14.44965
sample_197,2.9645977,5.8599076
sample_198,2.6879146,6.432554
sample_199,2.269481,4.5849037
sample_200,-4.201492,13.376583
sample_201,-10.846305,1.8228359
sample_202,-4.3550696,13.429105
sample_203,2.0943372,5.9246426
sample_204,1.8674653,6.4256783
sample_205,-12.939578,1.6915859
sample_206,1.4038967,5.94255
sample_207,-13.11966,2.926972
sample_208,0.8755043,5.9340935
sample_209,0.13154873,5.2462344
sample_210,-13.11966,2.926972
sample_211,0.60154665,6.06099
sample_212,-0.67165625,4.8012614
sample_213,-8.218444,-5.046311
sample_214,8.63294,-3.9904945
sample_215,9.780003,-4.491969
sample_216,-2.16282,-11.577344
sample_217,-0.268024,-1.1020298
sample_218,10.100652,-4.734661
sample_219,9.933831,-1.5449432
sample_220,8.009371,-2.9887822
sample_221,2.1212163,-5.524506
sample_222,-2.5486991,-11.791543
sample_223,-2.3234773,-10.011332
sample_224,2.7867901,-10.173166
sample_225,1.6660196,-13.389782
sample_226,-0.15377645,-1.9456362
sample_227,8.177893,2.4092183
sample_228,8.757651,2.840936
sample_229,7.94561,4.6458936
sample_230,10.179735,-4.788933
sample_231,-8.0313225,-3.9993286
sample_232,-10.327649,-3.8950195
sample_233,-12.035963,-8.671799
sample_234,-8.931652,-7.7905626
sample_235,5.6257443,-7.551207
sample_236,-2.4969034,-8.121764
sample_237,3.928748,9.467894
sample_238,2.0633092,-5.209365
sample_239,1.4485848,-4.697758
sample_240,2.7001503,-5.5384355
sample_241,3.7826645,-9.737231
sample_242,-4.328148,7.014434
sample_243,11.764938,2.950515
sample_244,6.5510664,1.6966833
sample_245,9.061111,3.4565344
sample_246,9.376467,2.7728264
sample_247,-0.26084805,-2.096433
sample_248,7.1191726,5.7319674
sample_249,7.745481,3.2492397
sample_250,7.058667,4.544331
sample_251,-8.031301,-3.999323
sample_252,-5.748016,-3.8484914
sample_253,-6.750525,-2.894154
sample_254,-10.756446,-3.519798
sample_255,-10.418381,-3.0454175
sample_256,-11.691466,-3.0637417
sample_257,-11.525736,-4.2036357
sample_258,3.3127744,-4.536304
sample_259,-0.72176415,-5.8599343
sample_260,0.18029517,-6.2165804
sample_261,-1.4339767,-7.2937245
sample_262,-0.68293005,-6.071253
sample_263,-1.6089734,-6.8063273
sample_264,1.6358287,-4.6802526
sample_265,-2.9601543,-12.150199
sample_266,4.1448216,-9.680465
sample_267,-7.2962475,-5.7468767
sample_268,-0.36184183,-9.268605
sample_269,3.3279235,-1.5372992
sample_270,11.53631,2.5024607
sample_271,-12.462041,-5.4050174
sample_272,-12.143162,-8.604962
sample_273,-11.73223,-4.7506227
sample_274,5.68772,-7.6171565
sample_275,-6.9387274,3.626971
sample_276,-6.841977,6.3585854
sample_277,6.1082163,3.4197023
sample_278,10.060344,8.973873
sample_279,6.9270506,8.568308
sample_280,0.100866996,11.525664
sample_281,5.4908476,4.094661
sample_282,-10.305024,0.2984649
sample_283,-12.713881,0.55804396
sample_284,-2.3799613,12.698055
sample_285,-0.9597436,13.634194
sample_286,3.9850698,5.6317997
sample_287,2.1159663,3.7086248
sample_288,-2.441736,14.524589
sample_289,-4.1025796,13.806954
sample_290,1.2108169,6.3624587
sample_291,10.157377,-1.5608648
sample_292,7.1967444,-3.4457479
sample_293,-4.19086,6.933641
sample_294,-12.741006,-5.093156
