,t1 (mean),t2 (mean)
sample_64,-0.7998148673875715,-0.9999997738382441
sample_65,-0.6600770515393464,0.9276247634124141
sample_66,-0.6596623114575658,0.9255432447459911
sample_67,-0.7024017334495567,0.9264346815560978
sample_68,-0.5292944082377817,0.9999931870167557
sample_69,-0.5622559420015877,0.9999315636971422
sample_70,-0.6323252417071236,0.915842909623484
sample_71,-0.6551779304942937,0.8559033743387983
sample_72,-0.9311262021550214,-0.8616479539775407
sample_73,-0.8513064928827121,-0.9998305781191067
sample_74,-0.5132970119867251,-0.9997471872491757
sample_75,-0.8602275551802301,-0.999789988459568
sample_76,-0.9999999895041556,0.3100203275219705
sample_77,-0.9999999908119346,0.2856747548422537
sample_78,-0.9999999995236678,0.2962409376773679
sample_79,-0.9999999997710307,0.2738567579983499
sample_80,-0.9999999986001388,0.2921632415694809
sample_81,-0.9999999191665692,0.3045824894249982
sample_82,-0.9999999994764925,0.2712428660335846
sample_83,-0.9999999999999998,0.12141756799826076
sample_84,-1.0000000000000002,0.04679606953006436
sample_85,-0.7241325858700087,-0.5858552529237185
sample_86,-0.5878864982555415,-0.8620730679440407
sample_87,-0.6401145569376718,-0.8620686451607549
sample_88,-0.5174731400939323,-0.9996509886994474
sample_89,-0.7931034381452047,0.2655327099332541
sample_90,-0.7931034482774242,0.24630469911615582
sample_91,-0.7241379554188111,-0.5797231670583808
sample_92,-0.6527284686998434,-0.8620688914716386
sample_93,-0.9999999913772272,-0.3555473360494212
sample_94,-0.7840229764494463,-0.9999992119245507
sample_95,-0.6549935728159624,0.8620557266934229
sample_96,-0.6547412812651185,0.8605148524422808
sample_97,0.9969555869135939,-0.9393008479517938
sample_98,-0.65348308615391,-0.999993542168746
sample_99,-0.7754204762401499,-0.9999999899547887
sample_100,-0.7930238033975427,-0.9999949391425069
sample_101,-0.8042347476388642,-0.9999878665942923
sample_102,-0.7938948831751436,-0.9999990541866869
sample_103,-0.7938948831751436,-0.9999990541866869
sample_104,0.9941735931001531,-0.9999708432025954
sample_105,-0.7932199265879648,-0.99999883610215
sample_106,-0.7949374931729485,-0.9999658940359292
sample_107,-0.9425498338274544,-0.7094211388872977
sample_108,-0.9999999999958977,-0.2735437224228968
sample_109,-0.6434611158751015,0.9133274574924135
sample_110,-0.6459830107140632,0.9003139776626126
sample_111,-0.5172530773448852,0.999999990520859
sample_112,-0.6549278605112773,0.7954853109144144
sample_113,-0.654973022332369,0.8128778516630347
sample_114,-0.5173421037670368,0.9999999504051262
sample_115,-0.9999999863743176,-0.36799648659498807
sample_116,0.9964581996218929,-0.9999999042648315
sample_117,0.9996290425094069,-0.9999999984075862
sample_118,-0.8663909492348836,-0.9805690900105567
sample_119,0.9988634907557287,-0.9999995296916054
sample_120,0.9989710836897391,-0.999999151439998
sample_121,-0.9983640180209581,-0.5943020968157926
sample_122,-0.9998430049415412,-0.6166890399831579
sample_123,-0.9999999999664496,-0.37003109104484205
sample_124,-0.9993215981057161,-0.5966985752815719
sample_125,-0.9994426670471938,-0.5999777205525001
sample_126,-0.6478613704346713,0.6553404733696876
sample_127,-0.5862169605775144,0.6551770933062387
sample_128,-0.5237200655142006,-0.9895068896981003
sample_129,-0.7931014011496756,0.24731188059122644
sample_130,-0.7931034254921094,0.2492814759416588
sample_131,-0.7931032502512679,0.2483809988143391
sample_132,-0.7241382650557682,-0.5575264402814506
sample_133,-0.7241381244530036,-0.5580879483694854
sample_134,-0.5172335058684334,0.9999999999586627
sample_135,-0.5172208192333907,0.9999999997124933
sample_136,0.9992574762670943,-0.942216632764313
sample_137,0.9996870105309148,-0.9999914907804136
sample_138,0.9999947329944311,-0.9308833240014808
sample_139,0.999402461140703,-0.9960455001606674
sample_140,0.9993516177876363,-0.9927157455136528
sample_141,-0.5675103578433531,-0.8623165445999736
sample_142,-0.586463897269523,0.6554579838932896
sample_143,-0.4122316393127452,-0.8797484872314804
sample_144,0.6551723421621847,-0.9972240315142524
