,t1 (mean),t2 (mean)
sample_53,-0.9991119949324264,0.6281003763182572
sample_54,-0.9992033683298688,-0.13241610472270277
sample_55,-0.9790519341061951,-0.711251054360935
sample_56,-0.9991248974121408,-0.13515641904020562
sample_57,-0.5860733133580753,-0.17218855573677078
sample_58,-0.6006747964505704,-0.7907425374040067
sample_59,-0.769111998062624,-0.7285016968528908
sample_60,-0.7644712093166441,0.8906999753126573
sample_61,-0.8604273679592077,0.7946202910978808
sample_62,-0.8537586515531023,0.8013937418371423
sample_63,-0.5157575815512814,-0.9992809336411993
sample_64,-0.7639473243323497,-0.7554618717307806
sample_65,-0.9907293294649853,0.5978247038839914
sample_66,-0.990562768664172,0.5988881807071603
sample_67,-0.9979356130115289,0.5912609992912954
sample_68,-0.8302059444079508,0.8249662213434787
sample_69,-0.8533579803797545,0.8017949340340541
sample_70,-0.8553098148589192,0.7998558487835331
sample_71,-0.8582734948015032,0.7968768907167736
sample_72,-0.755588369192839,-0.9999777409717537
sample_73,-0.6576413735321175,-0.9958963086405176
sample_74,-0.6206214995007474,-0.9943020688768549
sample_75,-0.5868396859431189,-0.9993456761868146
sample_76,-0.999674099805689,0.45643810759745873
sample_77,-0.9976627588791368,0.4665241013804771
sample_78,-0.9995641775957382,0.4127517519176555
sample_79,-0.9978744332281262,0.4738556352437111
sample_80,-0.9996987352528593,0.5136733403426793
sample_81,-0.9991523286684069,0.5361928309849658
sample_82,-0.9982833155935898,0.5323910102375254
sample_83,-0.8805897382757575,0.773330130985551
sample_84,-0.8873411368292422,0.7650387190228348
sample_85,-0.45655652539021335,-0.04113568064203299
sample_86,-0.3812651469826839,-0.3822776248160007
sample_87,-0.5611733397163703,-0.1820873311090312
sample_88,-0.44523375943706006,-0.444294936138886
sample_89,-0.585601701174227,0.2424574918288509
sample_90,-0.698375554772063,0.45440244148493375
sample_91,-0.5277335287763741,-0.05498420626602734
sample_92,-0.5766571658557647,-0.1540346559983384
sample_93,-0.7692850699116491,0.48792475318898504
sample_94,-0.5516116959241428,-0.8724730742158122
sample_95,-0.8293099008671773,0.6223980948864006
sample_96,-0.7852844870390654,0.5018709940237595
sample_97,-0.35717364904612114,-0.9999984102280268
sample_98,-0.5811021802251185,-0.8250390669086826
sample_99,-0.5625326977070011,-0.8483246557344293
sample_100,-0.5624486595456214,-0.8912560570181137
sample_101,-0.562870100833503,-0.9662404110279864
sample_102,-0.5553023779158409,-0.9186129159786712
sample_103,-0.5553023779158409,-0.9186129159786712
sample_104,-0.47385066072463156,-0.9998118786506552
sample_105,-0.572675124624383,-0.8588307069403553
sample_106,-0.5860457564584269,-0.8526655205535723
sample_107,-0.9443906677926956,0.416909243172992
sample_108,-0.87678279843889,0.56580279872106
sample_109,-0.8651254598938484,0.7847553405982127
sample_110,-0.8673287974224156,0.7711663865428073
sample_111,-0.7275411727693875,0.9275731873905197
sample_112,-0.7373545819170062,0.9178112746643116
sample_113,-0.745194147785864,0.9099759961930425
sample_114,-0.7370246945044955,0.918140568685111
sample_115,-0.5466126781305021,-0.8730594186070969
sample_116,-0.5164020486232781,-0.9995369242549917
sample_117,-0.5035330843049879,-0.9998488323244417
sample_118,-0.49396273064033774,-0.999993262408117
sample_119,-0.5130308007142644,-0.9998195272933854
sample_120,-0.5071541278706792,-0.9998965650100395
sample_121,-0.8194745489585129,0.4942630263681883
sample_122,-0.7737467288488695,-0.9995962572070857
sample_123,-0.8499346309846788,0.8050327299267247
sample_124,-0.5303511465414981,-0.9935696413492662
sample_125,-0.5431022367993334,-0.9951043099212417
sample_126,-0.5383268150315016,0.28913477447865465
sample_127,-0.5652020032604107,0.5953539403234367
sample_128,-0.4186500018997006,-0.4188214082263184
sample_129,-0.5623185586665088,0.26499839967069966
sample_130,-0.5693900092885986,0.2579448415501614
sample_131,-0.5696998887381873,0.2572189299858129
sample_132,-0.48455451869875027,-0.027316533694419706
sample_133,-0.4810060776510232,-0.029175820249545473
sample_134,-0.7159313860449003,0.934986771875067
sample_135,-0.7212123588479544,0.9321819874066991
sample_136,-0.2717119339372788,-0.9999999872197771
sample_137,-0.3059044771668291,-0.9999997245182733
sample_138,-0.275290398337488,-0.99999999951957
sample_139,-0.3301904324378004,-0.9999996650931643
sample_140,-0.3055310138949263,-0.9999998902436092
sample_141,-0.3776263488279562,-0.382749006394302
sample_142,-0.5177998123816162,0.3104503356676724
sample_143,-0.33629056771720783,-0.3989149328436356
sample_144,-0.28437246021642704,-0.42471609974677405
sample_145,-0.2684645521128101,-0.43300544900635585
sample_146,-0.5191569937050945,0.30798103642551183
sample_147,-0.4511214800216068,-0.0348060976711628
sample_148,-0.12157588162135322,-0.9999999999999977
sample_149,-0.12157588162135322,-0.9999999999999977
sample_150,-0.13134490498574944,-0.999999999999977
sample_151,-0.13134490498574944,-0.999999999999977
sample_152,-0.12360489679098334,-0.9999999999999979
sample_153,-0.12360489679098334,-0.9999999999999979
sample_154,-0.12653910996232562,-0.9999999999999957
sample_155,-0.12754433768078385,-0.9999999999999933
sample_156,-0.274013700667481,-0.9999972795806248
sample_157,-0.2630300156706071,-0.9999994114596442
sample_158,-0.5881869287037392,0.9990099433301783
sample_159,-0.18603811546017515,-0.9999999999995067
sample_160,-0.13177868556354566,-0.9999999999999956
sample_161,-0.12060607581873008,-1.0
sample_162,-0.19421535245037175,-0.9999999999970483
sample_163,-0.19163489717568477,-0.9999999999969742
sample_164,-0.1847134515717667,-0.999999999998171
sample_165,-0.27285400298173546,-0.9999999939588665
sample_166,-0.7794210081464876,0.8754626724594309
sample_167,-0.24147063887112796,-0.0344827990366242
sample_168,-0.2746755661166111,-0.4238442760909379
sample_169,-0.37943393176204826,0.6551724204553419
sample_170,-0.23220128461259157,-0.4471513065315997
sample_171,-0.23250517755571334,-0.4467377069366564
sample_172,-0.23455980339593066,-0.44683813228136166
sample_173,-0.19455835207577654,-0.44817834751921154
sample_174,-0.23225481638866827,-0.4471896544850685
sample_175,-0.21762288941383848,-0.4478970092791642
sample_176,-0.22514701457352274,-0.4477190676033239
sample_177,-0.3837753512515503,0.655142957847877
sample_178,-0.002589730977245296,-0.9999999999999998
sample_179,0.09246427396805,-1.0
sample_180,0.06152333973324287,-1.0
sample_181,-0.047370014153615025,-0.99999999999997
sample_182,-0.03451805011706628,0.9999999999999999
sample_183,-0.10440406750111593,-0.44827567972949567
sample_184,-0.10908122755385398,-0.4482747565243469
sample_185,-0.10709400948961133,-0.4482751639123843
sample_186,-0.108367413806882,-0.4482751173101469
sample_187,-0.10742353163738716,-0.4482748211539687
sample_188,-0.10536584897770278,-0.4482756589224749
sample_189,-0.11117766793730867,-0.44827361771708774
sample_190,0.10565634492914505,-1.0
sample_191,0.11455859445607658,-1.0
sample_192,-0.2413788730051776,0.9999999999999607
sample_193,-0.03448283385355913,0.03448272992488515
sample_194,-0.03448281692172411,0.03448273692294919
sample_195,-0.034482757847263804,0.9999999999999999
sample_196,0.1034426790054144,-0.4482751068169005
sample_197,0.4020030584535913,-0.9999999999999999
sample_198,0.444779825812301,-0.9999999999999998
sample_199,0.44054183146328496,-0.9999999999999978
sample_200,0.1711361070676792,-0.1715266476897173
sample_201,0.034482758620689655,0.5172413793103449
sample_202,0.1724134658336181,-0.17241352641321017
sample_203,0.666207178128323,-0.999999999797887
sample_204,0.7124953429370399,-0.9999998524415455
sample_205,0.379310344827589,1.0
sample_206,0.9991233750602191,-0.7937596255496516
sample_207,1.0,1.0
sample_208,0.9999999999998773,-0.7931034535977216
sample_209,1.0,-0.17241379282420183
sample_210,1.0,1.0
sample_211,0.9999999999999978,-0.7931034741281348
sample_212,1.0,1.0
sample_213,-0.8837412993613161,0.4920280097625093
sample_214,-0.9906878611938066,-0.944638722836705
sample_215,-0.9955417475105762,-0.9966794703769856
sample_216,-0.9999945234466483,0.6049528292987348
sample_217,-0.9999996886367651,-0.08544253748859879
sample_218,-0.9231366225428015,-0.9999827714023145
sample_219,-0.7368130985437042,-0.9986074747434918
sample_220,-0.8990665441766789,-0.8829398006767004
sample_221,-0.999997612702868,0.07179395863766189
sample_222,-0.9990870666990607,0.6241220688027443
sample_223,-0.999453821908823,0.6088734745359661
sample_224,-0.9999952141127177,-0.08390454457496342
sample_225,-0.9999993033096366,-0.05875330462020346
sample_226,-0.9931870886343858,-0.05449303489948762
sample_227,-0.7621218654420213,-0.7395249231589712
sample_228,-0.6807685123703503,-0.7662950328122626
sample_229,-0.7579497048501056,-0.746696938371163
sample_230,-0.769093584999729,-0.9999996391889752
sample_231,-0.9918237204763465,0.5792149505104147
sample_232,-0.8460213108108344,0.8091485457056884
sample_233,-0.8583114016613868,0.7968445630945722
sample_234,-0.8553098148589192,0.7998558487835331
sample_235,-0.6558884366399885,-0.8214220661751829
sample_236,-0.9995446004488524,0.49371933190342543
sample_237,0.0771780105872373,-0.9999999987476454
sample_238,-0.9995450802394669,0.3407575999262033
sample_239,-0.998639621120577,0.34176971272071166
sample_240,-0.9972886841431463,0.1562047343838675
sample_241,-0.8133071454842457,-0.6658420870109812
sample_242,-0.5806333540362697,-0.16164354565833391
sample_243,-0.5822711798467097,-0.7921839413851791
sample_244,-0.5862782177501416,-0.788841077705818
sample_245,-0.588402036921766,-0.7906217317124321
sample_246,-0.5934798172936926,-0.7940816434574125
sample_247,-0.6111262071504827,-0.8769282532443508
sample_248,-0.5777385642078994,-0.854465961923636
sample_249,-0.5738910470927395,-0.8372886118059071
sample_250,-0.5847842688699755,-0.8557669223028578
sample_251,-0.9918237204763465,0.5792149505104147
sample_252,-0.8794468300741163,0.7695267863790801
sample_253,-0.8664879271448686,0.7821519972529769
sample_254,-0.7308964294266823,0.9242586690314356
sample_255,-0.7347851998416639,0.9203734373024672
sample_256,-0.7294679095418616,0.9256784821064383
sample_257,-0.727564814171811,0.9275618147031924
sample_258,-0.7885980440765709,-0.9077905569459339
sample_259,-0.9742645278941002,0.5986061068424487
sample_260,-0.9874947062802698,0.6146021569234668
sample_261,-0.9751321401963391,0.6258992846236141
sample_262,-0.9828144385221599,0.5885487810784882
sample_263,-0.9420750244896878,0.5804199724160832
