"",MaxAbsEStateIndex,HeavyAtomMolWt,ExactMolWt,MaxAbsPartialCharge,MinAbsPartialCharge,Chi0,Chi0v,Chi1,Chi1n,Chi2v,Chi3n,Chi4n,Chi4v,LabuteASA,VSA_EState10,HeavyAtomCount,NOCount,NumHDonors,MolMR,fr_benzene
PEOE_VSA2,0.49439405933280517,0.2720270460780465,0.2830861006040909,0.2545014991634989,0.40441302928209255,0.38956330974600184,0.28868704182587035,0.3589440158346912,0.3376950959360635,0.2607276630369618,0.3527555491920592,0.3482686096633355,0.28100069004861056,0.3091477858528377,0.15958726209602223,0.3713598157901049,0.5579087753495813,0.2883953797006199,0.26156804548916723,0.13197383847222846
EState_VSA10,0.6844333019360402,0.49754494823010054,0.5134815318250414,0.4093507406985366,0.5537109549796959,0.64088893950279,0.4957921540845912,0.5851117520484719,0.5352895113235467,0.45618788017512674,0.517037504034262,0.49399677008012316,0.4258452479972652,0.5268832261023985,0.19832611997495503,0.6079434853269294,0.7625565818659251,0.5773296647191285,0.4524115420733241,0.035706390502316235
PEOE_VSA7,0.19045372856754694,0.5535124910626513,0.5846841529285581,0.13609208643377588,0.034358281183219694,0.620701547473915,0.6665572564579051,0.6420401825861162,0.7184198183950264,0.6926488447956637,0.7525017755813529,0.7471104421491521,0.7124861515238282,0.6383180594143392,0.08902466979865216,0.6407241863944771,0.13230565771241706,0.11479786515742607,0.6835649950481463,0.28491917998398214
MinEStateIndex,0.6757669224617175,0.4505506512130093,0.44815808805765234,0.45685857046556844,0.646220269014039,0.48335376570403954,0.3901740121075699,0.40859242539576,0.29679255300937585,0.40880942588428154,0.22773237984545341,0.1934794069754307,0.30015311352528296,0.4019526521941805,0.01939417841256048,0.43833157994756516,0.6491966727152367,0.4506946018551248,0.3226066820161733,0.040133323938115424
qed,0.3742595069736675,0.3035112831161333,0.31354406519204897,0.3409364669765651,0.29383215629528275,0.3627593396573322,0.3442565899670642,0.37295790605525186,0.3430412006591587,0.28198293490474247,0.27449140989515713,0.24750039898336898,0.2146501277692111,0.3463526966300237,0.10021759754009145,0.3708381836479977,0.23070799287399796,0.06300285131395257,0.3600896052701588,0.2021971913362981
Ipc,0.03317466365467277,0.1356704472953191,0.1422603673267247,0.028751465882652937,0.035680778436001474,0.1598879689368641,0.14067441915789108,0.1539994679680199,0.1472321832089808,0.10881560573593395,0.09902520414821549,0.08288374491550181,0.06907169728267348,0.148016108454988,0.012851900012457803,0.15505530531620618,0.15373136309655708,0.16060804364172987,0.13716054386294804,0.024606325100247513
EState_VSA5,0.05071918104617442,0.12879742312633394,0.1535934849394104,0.025931400947032383,0.025462846894979713,0.2284473519915886,0.23193688980118568,0.2631405071536022,0.3352430980032978,0.23290108196707884,0.2770842390262769,0.2667926296301016,0.2413936945301676,0.21533702613794733,0.20177928079972438,0.248866104398154,0.06472733385173123,0.004381574232342726,0.26751122592387266,0.1463237085086288
PEOE_VSA6,0.25889682963941574,0.3577758034349885,0.35197247171841994,0.435413432111101,0.3013502672782836,0.2604679572865799,0.37124557243332934,0.28843955089140855,0.284616143898651,0.31584828577572005,0.215394419256373,0.19210905934743888,0.2513111630957687,0.3733205603103209,0.5046975257346924,0.27667253451796714,0.3933799119111656,0.2914482756364758,0.4152504610948791,0.5001045309226972
PEOE_VSA9,0.24316770590692086,0.5496703782741528,0.5358447074896457,0.17444738287848988,0.24494173354686888,0.4751063132799047,0.47960878082598657,0.4517256372007004,0.32941343757167285,0.39520594838046486,0.2619181311718471,0.23366497502660236,0.3560700084737002,0.5033550532454502,0.42254566460380477,0.4598590710307251,0.34151224988776796,0.1367971258213713,0.448130124927068,0.17423852962235414
SMR_VSA10,0.057691359491687855,0.6320295896060254,0.586187776697994,0.2622762774691025,0.01793326019582901,0.30571344318732663,0.4349592409831159,0.2762126738712407,0.10181497883160663,0.4210840313067105,0.06940597901744933,0.06310604134052698,0.3131602170569014,0.4441934419305553,0.8524489147299575,0.2904026885931553,0.023155355359684802,0.10762105869437687,0.40144709245481186,0.31205133679830677
EState_VSA3,0.3766715282517779,0.5079037032918209,0.5177666935102134,0.18128301391969126,0.250699949266709,0.5167704309898763,0.5462213909467236,0.5042500651675924,0.5003099620559356,0.5198638550443756,0.5056897412554284,0.5004355861750832,0.5179164963774057,0.5390713823261881,0.24862982178498422,0.5105092284440844,0.2417611852481804,0.05876288115219287,0.5098940553098731,0.056559938195459174
PEOE_VSA1,0.4539320746702826,0.3848753150437519,0.4068799751722099,0.5901569254554561,0.4605983718858807,0.5171342209624615,0.40685254554209804,0.48765255291672743,0.4457846916523395,0.3283510733158444,0.3684376868139239,0.3348523001490328,0.2874438961049363,0.43065823227013594,0.1965865503555153,0.4959292235314543,0.7258288810401384,0.7532293602458671,0.3850379483786844,0.03701938250084911
PEOE_VSA14,0.45096025647174326,0.1692233832101754,0.1749627249768435,0.42987009347753,0.722285541653996,0.2515424166580054,0.15424462198355504,0.20824513255204227,0.16099512469020283,0.07575482828265788,0.0914130500311986,0.0688987805490859,0.030932880102177936,0.16895389731035684,0.14607080164965094,0.2210985988273418,0.44893648414267795,0.20139980778218805,0.11677515723537785,0.08602016850799553
PEOE_VSA3,0.30169659286333445,0.16849529289676932,0.1612041230247344,0.18441246944349537,0.4176557048387935,0.2038848419267595,0.12264177318613233,0.19208885399955428,0.08559842407768829,0.09545072855470861,0.002411950025337085,0.021763187971696324,0.029041398887285633,0.14519534195735445,0.11906977595204965,0.19781109516787165,0.48258048002517584,0.22440835143699794,0.115673746242772,0.010901229231747325
EState_VSA1,0.45513584945272423,0.4768001238889818,0.4847648958103795,0.27052893747288076,0.38391915654801684,0.5580782589409916,0.43873895150754005,0.4951588687321952,0.4258758165532117,0.41878576075336854,0.4100541012526315,0.38459932594280616,0.37110956763039515,0.46959802751910235,0.046606526549348146,0.5202745750294322,0.6988776284084087,0.6651169696187593,0.3831690755369277,0.07690898847255996
FpDensityMorgan2,0.3385758205003697,0.2191707776910754,0.20690382931676943,0.3940297195623161,0.3528947182362503,0.12089479466071915,0.18357817141920116,0.13390120371974973,0.10160917203116836,0.16952536483471384,0.056058120189914816,0.038660131104457096,0.10216347050297901,0.19400257346999342,0.34739069797772393,0.12989684379239688,0.26147927567005413,0.13667965063076132,0.2135222717312027,0.4021975587607028
SMR_VSA1,0.6972808482228061,0.47284690095045256,0.49333750901001666,0.5966314445565507,0.6304246515878527,0.6236261020748414,0.4822593393229167,0.5668871406782275,0.5213780336107635,0.4345672106215958,0.48009895833234667,0.45150058216671457,0.40119016619899517,0.5064074596367851,0.21883217900053345,0.5872400128995153,0.7858718164112425,0.6371187038466898,0.42243654091041777,0.07516777425834006
SMR_VSA6,0.16864324151472299,0.2597492129560565,0.27880546466249595,0.28017339028630783,0.2278461860797046,0.3229738507965776,0.3303268708316491,0.3265375742713746,0.30785678002250744,0.25496626570791936,0.16713952657885509,0.14096435757608092,0.20335959835825737,0.30338044154038046,0.0946884873979684,0.3183606636235945,0.37563266443957116,0.06759201019961063,0.3184102914960017,0.002358363435587804
EState_VSA7,0.049764660277654235,0.11911654715503325,0.12249598016790841,0.061835133642246486,0.020399060439459958,0.13994402188628355,0.14749025779987746,0.17387216704312392,0.14784650965588653,0.0884822166122228,0.07239609448537776,0.04966661378765349,0.05769578973265438,0.15771015018289203,0.04727718220416052,0.16099880710812436,0.05077600355820553,0.09577137054657113,0.20418028520501263,0.3034867836600846
BalabanJ,0.049877677359927285,0.35790288405566145,0.380864706761169,0.011402981001322436,0.07123868059575825,0.42825645179321403,0.43500436374500584,0.4966966714157624,0.5573436657650759,0.43499804381707524,0.5911206860893323,0.6072079738724974,0.4978419753969954,0.45237723785495715,0.0993765136166493,0.47600513832882857,0.13025389155728437,0.09668168469662185,0.47207520944329545,0.210195802224463
BertzCT,0.35541763948057326,0.8242745427873219,0.8274931445324856,0.15978677846066733,0.279438859088844,0.8877613139151538,0.8323065010285013,0.9150022960932949,0.8009044119113793,0.7389055472005472,0.730576780222983,0.6987845487550696,0.6987755375035909,0.8841106076910675,0.13122366104111066,0.9118174352539555,0.5079601962002729,0.2747631241943288,0.8851225969651761,0.6151448120738127
