,t1,t2
sample_208,10.360531,-5.0275397
sample_209,4.7265034,7.2001057
sample_210,3.6540694,7.9185624
sample_211,10.49612,-4.993445
sample_212,4.3967957,7.583897
sample_213,-1.2201252,4.960759
sample_214,-1.7417608,-5.5270953
sample_215,-1.962385,-6.2799125
sample_216,-6.8432117,1.389644
sample_217,-2.92651,-2.965783
sample_218,-2.0293102,-6.4739695
sample_219,0.20036203,-5.636247
sample_220,-1.0912542,-4.837071
sample_221,-2.216266,-0.051012926
sample_222,-7.0248094,1.532453
sample_223,-5.9974413,1.8808982
sample_224,-4.6832514,-1.3151914
sample_225,-7.2255225,-1.9841197
sample_226,-2.6653087,-2.6720734
sample_227,1.8976185,-3.5524158
sample_228,2.0220835,-3.5715182
sample_229,2.6899822,-4.2355843
sample_230,-2.045741,-6.539263
sample_231,-1.588306,5.281306
sample_232,-2.9647312,7.6225057
sample_233,-5.04709,5.246227
sample_234,-5.2446237,7.160162
sample_235,0.13036902,-0.36310032
sample_236,-4.7969103,1.7971318
sample_237,7.8855777,-3.6307714
sample_238,-2.1661806,0.17667383
sample_239,-1.8911617,0.95415246
sample_240,-2.189425,-0.12092571
sample_241,-4.1101074,-1.3893167
sample_242,3.1673,1.1295643
sample_243,2.6983907,-1.7755224
sample_244,3.13823,-2.120492
sample_245,2.1066804,-4.0101066
sample_246,2.009427,-2.840938
sample_247,-2.7010872,-2.6309342
sample_248,3.7624857,-4.119466
sample_249,2.849975,-3.314225
sample_250,3.3668349,-3.8956115
sample_251,-1.588306,5.281306
sample_252,-3.0833898,4.387557
sample_253,-2.7806287,5.0574455
sample_254,-2.7074087,7.710935
sample_255,-2.5073245,8.118782
sample_256,-2.0528576,7.486977
sample_257,-2.599934,6.911415
sample_258,-1.3838665,0.1477799
sample_259,-3.2629058,1.2240435
sample_260,-3.2924957,0.93635
sample_261,-4.0779104,1.6327459
sample_262,-3.3200042,1.142826
sample_263,-3.8844972,1.6808896
sample_264,-1.8996018,0.8875318
sample_265,-7.285165,1.6439763
sample_266,-3.8737786,-1.3578258
sample_267,-1.6584629,4.156674
sample_268,-5.213524,0.4499806
sample_269,-1.2691457,-1.9411544
sample_270,2.2831116,-1.859237
sample_271,-3.1296911,6.343532
sample_272,-4.9797373,5.2454925
sample_273,-3.0094597,7.0321884
sample_274,0.21360156,-0.28328928
sample_275,1.998421,3.5413053
sample_276,3.5897145,3.1130664
sample_277,3.6013918,-2.9727008
sample_278,5.2747674,-6.4880075
sample_279,5.48279,-4.23789
sample_280,5.928935,-0.9809818
sample_281,4.2401505,-3.049785
sample_282,0.54002297,6.8484697
sample_283,1.4028594,8.233516
sample_284,7.330781,-0.5455236
sample_285,7.478806,0.11529438
sample_286,8.19124,-5.206322
sample_287,9.063206,-3.847444
sample_288,8.345244,-0.9567863
sample_289,8.104078,1.425924
sample_290,10.18822,-5.1266255
sample_291,0.23466823,-5.6365614
sample_292,-1.7196947,-4.6436253
sample_293,3.1474075,1.0661217
sample_294,-2.868447,6.452835
