,t1,t2
sample_1,-1.692019,-3.0071182
sample_2,-1.4199055,3.5869055
sample_3,-5.573944,6.0239077
sample_4,-0.8133385,-4.2675996
sample_5,0.6132341,-3.358861
sample_6,-1.7411251,-5.546811
sample_7,-5.1184597,-0.048124395
sample_8,-1.0308697,-2.2205067
sample_9,-2.2504785,3.8815265
sample_10,-5.5469832,7.161619
sample_11,-5.546979,7.161612
sample_12,-5.3571835,5.833332
sample_13,0.023358159,-5.4498625
sample_14,-1.3442256,-4.684297
sample_15,-0.8902579,-4.8141365
sample_16,-5.088227,-1.6249641
sample_17,1.283971,-4.79769
sample_18,-2.0853617,-0.85177445
sample_19,-4.30398,-0.06133276
sample_20,-2.5144775,-0.7928895
sample_21,-6.1853137,1.520354
sample_22,-5.0635414,-1.4576072
sample_23,-4.6809955,-1.5505667
sample_24,0.00021306236,-1.3094003
sample_25,0.8582554,-2.8780265
sample_26,-0.5665735,-2.4089088
sample_27,-1.4501376,4.1127152
sample_28,-4.1413918,7.263604
sample_29,-4.12362,7.1577935
sample_30,-2.6378386,-2.7715151
sample_31,0.9977653,-3.613342
sample_32,1.2042044,-2.5669305
sample_33,1.2041405,-2.5668802
sample_34,1.2773833,-3.604215
sample_35,-2.5412395,4.158037
sample_36,-1.9356353,4.6064515
sample_37,-2.0756164,4.6301527
sample_38,-1.6254954,-0.6612285
sample_39,-4.831199,5.750791
sample_40,-3.6382813,6.6428795
sample_41,-5.433136,5.284476
sample_42,-3.7135942,6.6539693
sample_43,-3.367953,6.2721868
sample_44,0.09025519,-5.5761576
sample_45,-0.7812909,-5.0415015
sample_46,1.7361059,-5.083242
sample_47,2.305406,-5.2413225
sample_48,-3.920354,0.14884286
sample_49,-4.77138,0.87387496
sample_50,-7.245234,-1.9661885
sample_51,-1.7346711,-0.48403984
sample_52,-4.004177,0.25194833
sample_53,-6.3549213,1.6617401
sample_54,-4.3966565,-1.457175
sample_55,-0.8214591,-0.6956932
sample_56,-4.6743517,-1.5129993
sample_57,3.0566955,0.68645275
sample_58,2.4228551,-1.9930512
sample_59,1.5253766,-3.3258748
sample_60,-1.3153816,6.704725
sample_61,-3.758546,7.236118
sample_62,-3.6394866,7.249098
sample_63,3.12292,-6.6905646
sample_64,1.8240439,-3.256341
sample_65,-2.6341703,5.1395764
sample_66,-2.3703384,4.838415
sample_67,-2.9742045,4.2585764
sample_68,-3.0511005,6.7249994
sample_69,-2.3931437,6.6089725
sample_70,-5.2446237,7.160162
sample_71,-4.6002684,5.5695515
sample_72,-0.6978147,-5.228779
sample_73,3.1520483,-4.8084626
sample_74,3.128193,-5.1455417
sample_75,2.4249437,-5.403492
sample_76,-3.6286142,0.6557487
sample_77,-4.7917423,1.3428781
sample_78,-3.563063,0.6813561
sample_79,-4.588732,1.5083413
sample_80,-3.583815,0.5094154
sample_81,-4.319953,1.2916399
sample_82,-4.3765416,1.4133443
sample_83,-6.542046,2.2323794
sample_84,-7.159322,1.5952033
sample_85,4.42354,1.2775527
sample_86,4.8592186,0.89763254
sample_87,4.5271697,0.98106784
sample_88,3.9107265,-0.38031211
sample_89,1.7041708,3.7044327
sample_90,0.8806323,3.153657
sample_91,3.547365,3.0633392
sample_92,3.1951153,1.159214
sample_93,-3.5414367,-3.1750984
sample_94,2.7931752,-1.8416878
sample_95,-3.273406,4.2533593
sample_96,-1.0063317,5.2875113
sample_97,3.4440444,-6.835663
sample_98,3.5712886,-4.1037216
sample_99,2.3618336,-4.451304
sample_100,2.6066494,-3.7406235
sample_101,2.7310567,-3.042791
sample_102,2.8964536,-2.9924626
sample_103,2.8964536,-2.9924626
sample_104,4.7944417,-6.3156424
sample_105,2.7743063,-3.3659809
sample_106,3.2565749,-3.9573483
sample_107,-1.3976177,-1.7004396
sample_108,-4.041969,2.125187
sample_109,-2.8503065,4.8279586
sample_110,-1.8755839,5.460228
sample_111,-2.5285273,6.9881334
sample_112,-4.8330574,4.9705095
sample_113,-4.4322357,5.4244885
sample_114,-2.193501,7.1436434
sample_115,0.055006724,1.1039397
sample_116,4.127363,-4.4094067
sample_117,5.06299,-4.7298126
sample_118,3.2880018,-5.7945127
sample_119,4.0019035,-4.895873
sample_120,4.0732183,-4.9640293
sample_121,-1.7263378,1.5889666
sample_122,-1.2424567,0.19203587
sample_123,-1.2546299,1.3294618
sample_124,-2.44529,1.3830204
sample_125,-0.19868891,-0.29526356
sample_126,1.308599,4.911252
sample_127,1.135284,5.7957516
sample_128,4.905109,-0.18325247
sample_129,2.1147168,3.3402321
sample_130,2.0407186,3.5501838
sample_131,2.0982175,3.509766
sample_132,3.589608,3.1266549
sample_133,3.589897,3.123778
sample_134,-3.0917327,7.6825695
sample_135,-2.0662057,7.588997
sample_136,5.345857,-6.60929
sample_137,5.524297,-4.9013495
sample_138,3.9943326,-6.0100174
sample_139,4.6187897,-5.0892215
sample_140,4.7309012,-5.132569
sample_141,4.9807196,0.5374187
sample_142,1.2719444,5.02431
sample_143,5.894479,0.07781731
sample_144,5.826339,-0.8060837
sample_145,5.7915106,-0.9442319
sample_146,2.3956654,3.6524866
sample_147,4.702126,2.1474903
sample_148,6.195766,-6.1289163
sample_149,6.195766,-6.1289163
sample_150,6.203009,-6.286032
sample_151,6.2029467,-6.285855
sample_152,6.2205567,-6.0658045
sample_153,6.2205048,-6.065797
sample_154,5.9245787,-6.844498
sample_155,5.9948854,-6.9441257
sample_156,5.522557,-3.4592104
sample_157,5.5893016,-3.4234939
sample_158,-1.4529867,8.003332
sample_159,5.9891686,-4.968734
sample_160,6.1853867,-5.017551
sample_161,7.541353,-5.5908504
sample_162,6.0930815,-4.2413483
sample_163,6.0426555,-4.164716
sample_164,6.1757007,-4.2327456
sample_165,-0.7876486,0.51270425
sample_166,-2.991343,1.7671688
sample_167,5.4063396,1.9203926
sample_168,5.640513,0.489928
sample_169,0.80745196,6.7691493
sample_170,6.557766,-0.18610479
sample_171,6.587116,-0.3474754
sample_172,6.519962,-0.342156
sample_173,6.333953,-1.4184955
sample_174,6.523843,0.16362439
sample_175,6.4297695,-1.4458004
sample_176,6.411989,-1.3668625
sample_177,-0.5016515,6.6008363
sample_178,6.6700983,-6.895247
sample_179,7.2038236,-4.5639424
sample_180,7.970076,-5.598755
sample_181,6.6471825,-3.8880544
sample_182,1.3296798,8.239336
sample_183,7.9464593,0.32626557
sample_184,6.973975,0.1800483
sample_185,7.5426016,-0.6630668
sample_186,7.24955,-0.886743
sample_187,7.3271513,0.12882268
sample_188,7.436537,0.11433333
sample_189,7.187907,-0.4291546
sample_190,7.112957,-6.8102875
sample_191,8.387535,-5.5330567
sample_192,-0.5995961,8.335714
sample_193,6.5176625,2.74792
sample_194,6.487743,2.6985588
sample_195,1.6873188,8.220847
sample_196,8.293183,-0.9389797
sample_197,8.969577,-5.208124
sample_198,9.185325,-5.3538322
sample_199,9.155638,-4.2422204
sample_200,7.916725,1.4297113
sample_201,2.0417786,6.809923
sample_202,8.003188,1.46918
sample_203,9.617801,-5.1576896
sample_204,9.784933,-5.2379923
sample_205,2.30983,8.14587
sample_206,10.08478,-5.1012435
sample_207,3.6540694,7.9185624
